id,message_id,event_time,description,photo_url,layer,matches,strategy,geom
1,510314,2026-07-20 17:19:58+00,Ромашкова блокпост ❗️ ❗️ ❗️ полиция 🚔 и 💩 ❕,,cops,"[{""name"": ""Ромашковая"", ""geo_id"": 629, ""similarity"": 0.97, ""matched_text"": ""ромашкова""}]",single_match,0102000020E61000000400000052465C001ABB3E4096EE096D943647405853591476BB3E4045381C4C79364740C966FD1CD5BD3E40E31CD02DCF3547402F59CB530CBE3E404E4B0746B9354740
4,510317,2026-07-20 17:22:53+00,слуги зеленского во дворе Гагарина.23 Возле стамот. Белый хюндай ❕,,pig,"[{""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",single_match,0102000020E610000003000000FD378A07EFBC3E40E6ADBA0ED53947406E579EF64ABD3E40864FDFD7ED3947400BDA9A632FC03E40A28AD1297E3A4740
3,510316,2026-07-20 17:22:48+00,Краснова пеекрёсток ближе романа кармана стоит блок ❕,,pig,"[{""name"": ""Краснова"", ""geo_id"": 359, ""similarity"": 0.97, ""matched_text"": ""краснова""}]",single_match,0102000020E610000006000000C5ED2B6A8BBA3E4015A930B61037474090543AB3B8BA3E400525164218374740AE2B6684B7BB3E403AF5375783394740830DF4F521BC3E407EFA74E1AC39474079E349777CBC3E40FA7ABE66B93947407FD9E2BFE5BC3E4053E0AEA8D2394740
5,510315,2026-07-20 17:22:46+00,"Сегедская, 1 / Проспект Гагарина,23 за аптекой белый микроавтобус . Вышли двое , пошли к остановке. ❕",,pig,"[{""name"": ""Сегедская"", ""geo_id"": 650, ""similarity"": 0.97, ""matched_text"": ""сегедская""}, {""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",intersection,0101000020E61000008634F07F7FBE3E4017584CFB293A4740
6,510312,2026-07-20 17:18:14+00,"Люди пожалуйста, указывайте точнее. Улица Гагарина не маленькая ❕",,pig,"[{""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",single_match,0102000020E610000003000000FD378A07EFBC3E40E6ADBA0ED53947406E579EF64ABD3E40864FDFD7ED3947400BDA9A632FC03E40A28AD1297E3A4740
7,510313,2026-07-20 17:19:08+00,Центральный Аэропорт в сторону Щорса Тойота Хайс и Мерседес белого цвета время ❕,,bus,"[{""name"": ""Центральное"", ""geo_id"": 1669, ""similarity"": 0.97, ""matched_text"": ""центральный""}, {""name"": ""Аэропорт"", ""geo_id"": 28, ""similarity"": 0.97, ""matched_text"": ""аэропорт""}, {""name"": ""щерса"", ""geo_id"": 817, ""similarity"": 0.97, ""matched_text"": ""щорса""}]",single_match,0101000020E610000070C7E589313C4040469D1441F7734740
11,510311,2026-07-20 17:18:14+00,Таврия Педагогическая жесть тупо ❕,,pig,"[{""name"": ""Педагогическая"", ""geo_id"": 553, ""similarity"": 0.97, ""matched_text"": ""педагогическая""}]",single_match,0102000020E6100000020000008881AE7D01C13E408D74AB8CEB364740227596B43DC13E402DFD95DFB3364740
19,510309,2026-07-20 17:18:00+00,Академика Филатова от 92 дома поехал белый фолькс с упырями в сторону домов 84 и 80... ❕,,pig,"[{""name"": ""Филатова"", ""geo_id"": 758, ""similarity"": 0.97, ""matched_text"": ""филатова""}]",single_match,0102000020E6100000040000008D89833A9BB43E40C8C38C3A8438474014A46318C1B43E40BD772F528338474083BF5FCC96B83E409C6F44F7AC374740F0A31AF67BBA3E40BC3D0801F9364740
24,510308,2026-07-20 17:17:57+00,Филатова 92. 2 буса типов ❕,,bus,"[{""name"": ""Филатова"", ""geo_id"": 758, ""similarity"": 0.97, ""matched_text"": ""филатова""}]",single_match,0102000020E6100000040000008D89833A9BB43E40C8C38C3A8438474014A46318C1B43E40BD772F528338474083BF5FCC96B83E409C6F44F7AC374740F0A31AF67BBA3E40BC3D0801F9364740
26,510306,2026-07-20 17:14:45+00,Педагогическая 23 тцк и менты облава срочно!!!!! ❕,,cops,"[{""name"": ""Педагогическая"", ""geo_id"": 553, ""similarity"": 0.97, ""matched_text"": ""педагогическая""}]",single_match,0102000020E6100000020000008881AE7D01C13E408D74AB8CEB364740227596B43DC13E402DFD95DFB3364740
27,510307,2026-07-20 17:15:02+00,"блокпост ❗️ ❗️ Гагарина возле Приморского лицея, бювета, храма как обычно, все прилегающие переулки также блокпост ❗️ ❗️ы ❕",,traffic,"[{""name"": ""Приморское"", ""geo_id"": 1523, ""similarity"": 1, ""matched_text"": ""приморского""}, {""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",single_match,0103000020E610000001000000100000008C6A11514C334040B312A91F8A0D4740756094FB783340403BEE4A81BB0C4740998F5A176D33404010559D7A490C474067107A9164334040110E0753DE0B474032FDB73764334040F00115E9D90B4740E91A1CDB213640409241EE224C0B4740A8BF03A84E3640405E8DA2BDB00B4740AA38C42E403640405B47B0CCB60B4740EA680BBE1F364040EDDA3928BC0B4740F54BC45BE73540400B598231C70B474050C6F8307B354040A8F3F285DA0B4740F3BB9F090335404094A9DD0ABC0D47406C3B12D495344040E5FA2DF0CB0D474026ACE86A863340408EAD6708C70D4740CF691668773340404D90C7C2C60D47408C6A11514C334040B312A91F8A0D4740
30,510305,2026-07-20 17:10:00+00,Проспект Гагарина блокпост ❗️ ❕,,traffic,"[{""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",single_match,0102000020E610000003000000FD378A07EFBC3E40E6ADBA0ED53947406E579EF64ABD3E40864FDFD7ED3947400BDA9A632FC03E40A28AD1297E3A4740
34,510304,2026-07-20 17:09:59+00,М Жукова 63 61 едут два буса в сторону поляны ❕,,bus,"[{""name"": ""Жукова"", ""geo_id"": 257, ""similarity"": 0.97, ""matched_text"": ""жукова""}]",single_match,0102000020E61000000F000000D80693872AB53E40A99AC530CC3247403620425C39B53E4010FF55ECD432474016574BF03CB53E4055E12AAAD9324740239EEC6646B53E4059F15712EA3247408EE156E652B53E4024AE08A3FE3247402CADD05158B53E405527B1B508334740EA4EC12B93B53E4004C18822493347405981C6F1E8B53E40B2CE424CD3334740767A9400EBB53E40DACBB6D3D6334740E04D12A683B63E40300DC347C4344740A403ED69E2B63E40A7EA1ED95C3547401825E82FF4B63E40CC0FB79E7C354740498A236AFDB63E402394089E8C3547400B18135102B73E4083633B8496354740C354E9DD0EB73E40F017B325AB354740
35,510303,2026-07-20 17:09:58+00,Поехали в сторону Авангард по магистральной ❕,,pig,"[{""name"": ""Магистральная"", ""geo_id"": 425, ""similarity"": 1, ""matched_text"": ""магистральной""}, {""name"": ""Авангард"", ""geo_id"": 944, ""similarity"": 0.97, ""matched_text"": ""авангард""}]",single_match,0102000020E610000002000000B6AD1C10D7A03E402AB638190B3C4740A3F7D73C589E3E4002261532FC3B4740
39,510302,2026-07-20 17:09:53+00,Пятухи зеленского во дворе маршала Жукова 47/1 ❕,,pig,"[{""name"": ""Жукова"", ""geo_id"": 257, ""similarity"": 0.97, ""matched_text"": ""маршала жукова""}]",single_match,0102000020E61000000F000000D80693872AB53E40A99AC530CC3247403620425C39B53E4010FF55ECD432474016574BF03CB53E4055E12AAAD9324740239EEC6646B53E4059F15712EA3247408EE156E652B53E4024AE08A3FE3247402CADD05158B53E405527B1B508334740EA4EC12B93B53E4004C18822493347405981C6F1E8B53E40B2CE424CD3334740767A9400EBB53E40DACBB6D3D6334740E04D12A683B63E40300DC347C4344740A403ED69E2B63E40A7EA1ED95C3547401825E82FF4B63E40CC0FB79E7C354740498A236AFDB63E402394089E8C3547400B18135102B73E4083633B8496354740C354E9DD0EB73E40F017B325AB354740
40,510301,2026-07-20 17:09:53+00,Hyundai H1 белый по Балковская в сторону автовокзала ❕,,bus,"[{""name"": ""Балковская"", ""geo_id"": 103, ""similarity"": 1, ""matched_text"": ""балковская""}, {""name"": ""автовокзал"", ""geo_id"": 31, ""similarity"": 0.97, ""matched_text"": ""автовокзала""}]",midpoint,0101000020E61000009E213C061CB53E400EFD82F1223D4740
50,510298,2026-07-20 17:06:34+00,Тцк ❕,,pig,[],random,0101000020E61000001FAD97A3FED73E404A1A622109434740
54,510297,2026-07-20 17:06:16+00,8971 и мсту41 Гайдара 26 ❕,,pig,"[{""name"": ""Гайдара"", ""geo_id"": 171, ""similarity"": 0.97, ""matched_text"": ""гайдара""}]",single_match,0102000020E6100000020000003E0F49884DB33E409867CAF38536474075A9B64027B73E40421BCA9AA2384740
45,510299,2026-07-20 17:06:35+00,"Ядова ,полиция на рынке +катается два буса, за рулём тцк ❕",,bus,"[{""name"": ""Ядова"", ""geo_id"": 826, ""similarity"": 0.97, ""matched_text"": ""ядова""}]",single_match,0102000020E610000008000000BC75FEEDB2B13E40CF876709323E47401C03571E49B03E4044C93F8E413E474070F5F7AD31AF3E400E2F88484D3E4740C4BE53B769AE3E40F6DB8DF4583E4740640A31F20DAE3E4029424530693E4740A3B1F677B6AD3E404B0FF91D793E474066040AAB67AD3E40B3B04C648B3E474073E08BE54CAD3E40EDA820F58D3E4740
57,510296,2026-07-20 17:05:31+00,"Серый т4 и н1 ,что с Ильфа Уже на Жукова 47 во дворах ❕",,bus,"[{""name"": ""Жукова"", ""geo_id"": 257, ""similarity"": 1, ""matched_text"": ""жукова""}, {""name"": ""ильфа"", ""geo_id"": 292, ""similarity"": 0.97, ""matched_text"": ""ильфа""}]",single_match,0102000020E61000000F000000D80693872AB53E40A99AC530CC3247403620425C39B53E4010FF55ECD432474016574BF03CB53E4055E12AAAD9324740239EEC6646B53E4059F15712EA3247408EE156E652B53E4024AE08A3FE3247402CADD05158B53E405527B1B508334740EA4EC12B93B53E4004C18822493347405981C6F1E8B53E40B2CE424CD3334740767A9400EBB53E40DACBB6D3D6334740E04D12A683B63E40300DC347C4344740A403ED69E2B63E40A7EA1ED95C3547401825E82FF4B63E40CC0FB79E7C354740498A236AFDB63E402394089E8C3547400B18135102B73E4083633B8496354740C354E9DD0EB73E40F017B325AB354740
63,510293,2026-07-20 17:00:36+00,"Маршрутная/Сибирская, во дворах возле снесеной стоянки, серый Дастер, белый Т5 vw шакалы ищут жертв ❕",,bus,"[{""name"": ""Маршрутная"", ""geo_id"": 444, ""similarity"": 0.97, ""matched_text"": ""маршрутная""}]",single_match,0102000020E610000002000000126BF12900B83E4076525F967636474047C66AF3FFB83E40C2B7FAFBD6364740
68,510291,2026-07-20 16:59:59+00,Маршала Жукова 77 во дворах белый и серый бус поехали в сторону Ильфа ❕,,bus,"[{""name"": ""Жукова"", ""geo_id"": 257, ""similarity"": 0.97, ""matched_text"": ""маршала жукова""}, {""name"": ""ильфа"", ""geo_id"": 292, ""similarity"": 0.97, ""matched_text"": ""ильфа""}]",single_match,0102000020E61000000F000000D80693872AB53E40A99AC530CC3247403620425C39B53E4010FF55ECD432474016574BF03CB53E4055E12AAAD9324740239EEC6646B53E4059F15712EA3247408EE156E652B53E4024AE08A3FE3247402CADD05158B53E405527B1B508334740EA4EC12B93B53E4004C18822493347405981C6F1E8B53E40B2CE424CD3334740767A9400EBB53E40DACBB6D3D6334740E04D12A683B63E40300DC347C4344740A403ED69E2B63E40A7EA1ED95C3547401825E82FF4B63E40CC0FB79E7C354740498A236AFDB63E402394089E8C3547400B18135102B73E4083633B8496354740C354E9DD0EB73E40F017B325AB354740
87,510283,2026-07-20 16:47:32+00,Вильямса Адмирал 74 отделение Новой почты 2 буса ❕,,bus,"[{""name"": ""Вильямса"", ""geo_id"": 150, ""similarity"": 0.97, ""matched_text"": ""вильямса""}, {""name"": ""Новое"", ""geo_id"": 1414, ""similarity"": 0.97, ""matched_text"": ""новой""}]",single_match,0102000020E61000000700000041BCAE5FB0BB3E406744696FF031474041AE1E413BB93E40345BC3561A324740A6F10BAF24B93E401A6030C912324740A23C98B965B83E4019517F620932474024B149230BB73E4050ACAE9EEE3147400F513BB2A8B63E400F441669E2314740B351E79B7EB43E40D5ACD804BD314740
138,510267,2026-07-20 16:25:56+00,"Королёва 45, 47 Белый и серый ❕",,pig,"[{""name"": ""королева"", ""geo_id"": 349, ""similarity"": 0.97, ""matched_text"": ""королёва""}]",single_match,0102000020E610000011000000BD169925A6B83E401A9D3DE136314740E87AEC78DDB83E40BF828F1C44314740D4A46F2DEEB83E40C0ED64CB4D3147406D8A6C8C42B93E402CA9C9422A324740554BDF104FB93E40C477071D19324740BC11CC8756B93E4015257C4A29324740F9ABB65153B93E40358A9B093C3247409DAD725765B93E40B8A3497375324740437B50AB43B93E407A90F9DBF93247403B78DCA62EB93E40E60DE6650333474064BAC61D25B93E400B52DFE8193347408B0D277A2AB93E402FEFBB3324334740AF7AC03C64B83E40B89B960E8C3447408021F5E857B83E40546DDC07C5344740CC3450CF71B83E405081DDFAFA3447405CE0979FC0B83E403BBD9C233C354740A226FA7C94B93E40FA00EEC38B354740
47,510300,2026-07-20 17:09:50+00,Ленпосёлок Только что напротив городка мусор с военным кого-то проверяли на белом компаквэн ❕,,cops,[],random,0101000020E610000017C3BA986DD73E40F8DD90C32D3D4740
16,510310,2026-07-20 17:18:13+00,Педагогическая ЛИМНОС ОККУПАНТИ ❕,/media/events/event_20260720_172407_510302.jpg,pig,"[{""name"": ""Педагогическая"", ""geo_id"": 553, ""similarity"": 0.97, ""matched_text"": ""педагогическая""}]",single_match,0102000020E6100000020000008881AE7D01C13E408D74AB8CEB364740227596B43DC13E402DFD95DFB3364740
132,510268,2026-07-20 16:26:18+00,Ильфа и Петрова 4 Вечерний Баку дворы рядом белый Дастер и белый Бус ТЦК ❕,,bus,"[{""name"": ""Вечерний Баку"", ""geo_id"": 148, ""similarity"": 0.97, ""matched_text"": ""вечерний баку""}, {""name"": ""ильфа"", ""geo_id"": 292, ""similarity"": 0.97, ""matched_text"": ""ильфа""}, {""name"": ""Петрово"", ""geo_id"": 1483, ""similarity"": 0.97, ""matched_text"": ""петрова""}]",midpoint,0101000020E6100000207EC4659FB63E4067FB82CDA6334740
