# Предлагаемые добавления в geo.csv
# Формат: names,wkt_geom,type
# names — разделённые | алиасы (первый — основной)
# wkt_geom — LINESTRING, POINT, POLYGON
# type — street / village / town / station / park / landmark / market / infrastructure
#
# ⚠ Требуют верификации координат по OSM/OpenStreetMap перед добавлением!
#

# ===== Из анализа events_export_09_07_26.csv =====

# Одескабель — завод/предприятие, упомянут в events id=10 (напротив одескабеля)
# Координаты: ~30.79, 46.48 (Почтовый район)
Одескабель,"POINT(30.79 46.48)",landmark

# Клеверный мост — упомянут в events id=17, 26 (под клеверным мостом)
# Координаты: ~30.65, 46.50 (Почтовый район)
Клеверный мост,"POINT(30.65 46.50)",landmark

# 6 элемент (Шестой элемент) — упомянут в events id=14, 125
# Уже есть в geo.csv как "Шестой элемент"
# Проверить: "6 элемента" и "6 элемент" матчатся через fuzzy к "Шестой элемент"

# Альтаиры — упомянут в events id=20 (блокпост ❗️ Альтаиры)
# Координаты: ~30.76, 46.50 (Люстдорфский район)
Альтаиры,"POINT(30.76 46.50)",landmark

# Автоцентр Тесла — упомянут в events id=76 (Автоцентр Тесла. Стали с радаром)
# Координаты: ~30.82, 46.47 (Киевский район)
Автоцентр Тесла,"POINT(30.82 46.47)",landmark

# Базарчик — упомянут в events id=144 (Большевик / Балтская дорога ( базарчик и ОСОН))
# Координаты: ~30.74, 46.50 (Пересыпь)
Базарчик,"POINT(30.74 46.50)",market

# ===== Из анализа 10_07_26_events_export.csv =====

# Филатова — уже есть в geo.csv
# Проверить: "филатова" матчится через fuzzy к "Филатова"

# Пастера — уже есть в geo.csv
# Проверить: "пастера" матчится через fuzzy к "Пастера"

# ===== Уточнение существующих записей =====

# Варненская — существует, но нужен алиас "Варянская" (опечатка в events)
# В газеттире уже есть "Варненская" — добавить алиас:
# ОБНОВИТЬ: Варненская|Варянская → существующая запись

# Люстдорфская — существует, но нужен алиас "Люсстдорфской" (двойная с)
# В газеттире уже есть "Люстдорфская" — добавить алиас:
# ОБНОВИТЬ: Люстдорфская|Люсстдорфская|Люсстдорфской → существующая запись
