names,wkt_geom,type
Єлизаветівка|Елизаветовка,"POLYGON((31.317161 46.9928704, 31.3143404 46.9928058, 31.312097 46.9909677, 31.3072614 46.9910096, 31.3056906 46.9947857, 31.3010056 46.9942246, 31.3024931 46.9891809, 31.3053527 46.9895766, 31.3117193 46.9893389, 31.3117758 46.9871889, 31.3144151 46.9871661, 31.314445 46.9857536, 31.3178691 46.9858885, 31.317808 46.9880081, 31.3173756 46.9911799, 31.317161 46.9928704))",village
Іванівка|Ивановка,"POLYGON((30.4839507 46.9559041, 30.4830273 46.9585959, 30.4815652 46.9623642, 30.481432 46.9630403, 30.4806824 46.9650149, 30.4794249 46.968411, 30.4788276 46.9699184, 30.4783004 46.9714125, 30.4778059 46.9724896, 30.476698 46.975492, 30.4764915 46.9765812, 30.4764371 46.9770514, 30.4762965 46.9775805, 30.4761559 46.977862, 30.4759746 46.9780352, 30.4755665 46.9782951, 30.4751992 46.9784498, 30.4749044 46.9787004, 30.4744918 46.9790918, 30.4740524 46.9794447, 30.4732856 46.9801606, 30.4731133 46.9804112, 30.4731315 46.980637, 30.4731723 46.9816146, 30.4731678 46.982224, 30.4732993 46.9824746, 30.4738388 46.9831087, 30.4743739 46.9837336, 30.4743966 46.9838666, 30.4742152 46.9841945, 30.4733355 46.9851442, 30.472932 46.9856236, 30.4728866 46.9858494, 30.4729818 46.986035, 30.4732856 46.9864434, 30.4747321 46.9877982, 30.4701919 46.9892568, 30.4681965 46.9892699, 30.4681517 46.9923579, 30.4680809 46.9936398, 30.4679625 46.9943121, 30.4671817 46.9971789, 30.4650512 46.9970918, 30.463929 46.9971574, 30.4624348 46.9970393, 30.4606585 46.9971443, 30.4597736 46.9971369, 30.4589796 46.9970368, 30.4582462 46.9968909, 30.4565932 46.9963387, 30.4550332 46.9955845, 30.4540656 46.9954633, 30.4534337 46.9952747, 30.4528281 46.9949694, 30.452453 46.994507, 30.4521633 46.9938829, 30.4507216 46.9940128, 30.4500267 46.9896621, 30.4498685 46.9881064, 30.4493193 46.985941, 30.4487514 46.982969, 30.4486863 46.9822069, 30.4492634 46.982226, 30.448798 46.9810575, 30.4483791 46.9804097, 30.4477461 46.9797428, 30.4470107 46.9791712, 30.4464429 46.9788346, 30.4458564 46.9785298, 30.4448883 46.9781741, 30.4451024 46.9781297, 30.4467221 46.9783392, 30.4534524 46.9793046, 30.4545298 46.9792635, 30.4552619 46.9791688, 30.4560252 46.9792196, 30.4564348 46.9790735, 30.4575798 46.9776509, 30.4588085 46.9758725, 30.459246 46.9752056, 30.4601583 46.9734018, 30.4602514 46.9730651, 30.4602979 46.9698955, 30.4599628 46.9690443, 30.459758 46.9688474, 30.458641 46.9685488, 30.4569095 46.9679009, 30.4562114 46.9675515, 30.4561742 46.9673101, 30.4582314 46.9631936, 30.4581942 46.9627298, 30.4578863 46.9622597, 30.4593974 46.9625829, 30.4605213 46.9627362, 30.4607448 46.9626981, 30.4611078 46.9624503, 30.4616012 46.9616943, 30.4617408 46.9605317, 30.4617687 46.9601949, 30.4619363 46.9600043, 30.4635095 46.9587019, 30.4640121 46.9579585, 30.465185 46.9573804, 30.4657063 46.9572787, 30.4666093 46.9572596, 30.4669071 46.9568403, 30.4673912 46.9566052, 30.4682476 46.9561986, 30.4686758 46.9559254, 30.4694764 46.9554933, 30.4705282 46.9552836, 30.4716639 46.9549087, 30.4721107 46.954572, 30.4732836 46.9534664, 30.4740283 46.9525959, 30.4755829 46.9485354, 30.4769047 46.944786, 30.4776378 46.9428914, 30.4782638 46.9410554, 30.4786269 46.940064, 30.47845 46.9393775, 30.4781521 46.939028, 30.4779287 46.9389009, 30.4774446 46.9385894, 30.4771747 46.9382589, 30.4772399 46.9380365, 30.4793995 46.9357419, 30.4778077 46.9353923, 30.4772678 46.9353224, 30.476188 46.9354051, 30.4752478 46.9356212, 30.4750523 46.9357928, 30.474801 46.936511, 30.4745031 46.936689, 30.4737863 46.9366572, 30.4733581 46.9370767, 30.4724552 46.9374136, 30.4716732 46.9377949, 30.4711426 46.9379348, 30.4707517 46.9380047, 30.4695322 46.9378076, 30.4686758 46.9378712, 30.4677822 46.9382716, 30.4657529 46.9392822, 30.4650733 46.9400449, 30.4646544 46.9408203, 30.4644217 46.9408457, 30.4638353 46.9407758, 30.463165 46.940941, 30.4621783 46.9416973, 30.461942 46.9418167, 30.461735 46.9416998, 30.461927 46.9413033, 30.4626996 46.9397335, 30.4638259 46.9386276, 30.4648499 46.9372038, 30.4654271 46.9368225, 30.4671678 46.9351127, 30.4689644 46.933816, 30.4692436 46.933727, 30.4696439 46.9332439, 30.4715615 46.9327354, 30.4720735 46.9324684, 30.4724272 46.9321379, 30.472753 46.9314068, 30.4733023 46.9304851, 30.4740749 46.930091, 30.4765324 46.9304788, 30.4771095 46.9303071, 30.4790271 46.9275228, 30.4794088 46.926779, 30.4799859 46.9265565, 30.4816243 46.9239245, 30.4841004 46.9243695, 30.4900766 46.9253613, 30.4958387 46.9263721, 30.5011726 46.9272494, 30.4934729 46.9322612, 30.4871781 46.9347959, 30.4869411 46.9350297, 30.4884156 46.9405846, 30.4868842 46.9441683, 30.4861767 46.9486803, 30.4858044 46.9504468, 30.4839507 46.9559041))",town
Іванівка|Ивановка,"POLYGON((31.6314333 46.905754, 31.6312894 46.9057903, 31.6288522 46.9059598, 31.628175 46.9060439, 31.6240799 46.9062794, 31.6236528 46.9054128, 31.6228373 46.9024856, 31.622658 46.9012804, 31.6226044 46.9009203, 31.6222031 46.8978868, 31.6222549 46.8962859, 31.6223583 46.896233, 31.6230405 46.8958841, 31.624148 46.895951, 31.62769 46.8960385, 31.6294198 46.8961761, 31.6304174 46.8963888, 31.6306737 46.8964951, 31.6312686 46.9004225, 31.6315249 46.9018358, 31.6320283 46.90263, 31.6321106 46.9029926, 31.6321747 46.9036305, 31.6319276 46.9054439, 31.6315732 46.9057398, 31.6314333 46.905754))",village
Іванівка|Ивановка,"POLYGON((31.6440924 46.6510609, 31.6467689 46.6508819, 31.6499446 46.6503811, 31.6529726 46.6502463, 31.6547596 46.6500263, 31.6566452 46.6499755, 31.6583952 46.6497979, 31.6594058 46.6494679, 31.6604164 46.6492141, 31.6613777 46.6488927, 31.6621048 46.648605, 31.6630538 46.6481651, 31.6641383 46.6478182, 31.663972 46.6473356, 31.6649008 46.6471708, 31.6657229 46.6470105, 31.6661236 46.6469431, 31.6668184 46.646797, 31.6672814 46.6466969, 31.6677465 46.6466076, 31.6681423 46.6465481, 31.6688026 46.6464328, 31.6695234 46.6462794, 31.6706563 46.646129, 31.670785 46.6466446, 31.6706992 46.6470202, 31.6722012 46.6466814, 31.6742182 46.6462837, 31.6775656 46.6455324, 31.6794324 46.6451494, 31.6828871 46.6445601, 31.683594 46.6448182, 31.6835725 46.645076, 31.6836476 46.6456947, 31.6836798 46.6459966, 31.6837871 46.6462029, 31.6835296 46.6463944, 31.683433 46.6465785, 31.6833794 46.646991, 31.6833258 46.6472119, 31.6832077 46.6472635, 31.6827786 46.6472487, 31.6822207 46.6472266, 31.680913 46.6470349, 31.679132 46.6472264, 31.6793681 46.6480366, 31.6786171 46.6505996, 31.6771642 46.6539215, 31.6771217 46.6552722, 31.6779003 46.6559038, 31.6786223 46.6557969, 31.6799672 46.6556705, 31.6803828 46.6558208, 31.680825 46.6564886, 31.6812377 46.656954, 31.6810225 46.6577023, 31.6805597 46.6590685, 31.6806776 46.659463, 31.680107 46.6594665, 31.6758577 46.6590697, 31.6762763 46.6560353, 31.6749616 46.656501, 31.672815 46.6574833, 31.6683758 46.6593442, 31.6648567 46.6609494, 31.6638911 46.6612292, 31.6609299 46.6615532, 31.6584194 46.6616858, 31.6563595 46.6616121, 31.6536987 46.6611114, 31.6540849 46.6581513, 31.6533983 46.6581513, 31.6507375 46.6583575, 31.6491497 46.6580924, 31.6476906 46.6582838, 31.6462958 46.6581365, 31.6460383 46.6574885, 31.6464368 46.6566694, 31.6470653 46.654673, 31.647928 46.6522452, 31.6445983 46.6521471, 31.6445861 46.6517433, 31.6439508 46.6515905, 31.643788 46.6511241, 31.6440924 46.6510609))",village
Адамовка|Адамівка,POINT(30.506952 46.8860638),village
Адамовка|Адамівка,POINT(30.221548 46.012848),village
Александровка|Олександрівка,POINT(30.6312513 46.3279486),town
Александровка|Олександрівка,POINT(30.8964195 46.9735338),village
Александровка|Олександрівка,POINT(30.374535 46.752388),village
Александровка|Олександрівка,POINT(32.1118946 46.6139617),village
