names,wkt_geom,type,reason
затока,POINT(30.4503 46.0642),landmark,no_polygon_in_group
Крыжановка|5ая крыжановка,POINT(30.78901 46.56594),landmark,no_polygon_in_group
Куяльник,"LINESTRING(30.72792 46.55968, 30.72769 46.55997, 30.72744 46.56028, 30.72737 46.56036, 30.72749 46.56041, 30.72746 46.56048, 30.72724 46.561, 30.72719 46.56112, 30.72711 46.56118, 30.72731 46.5614, 30.7271 46.56149, 30.7269 46.56158, 30.7267 46.56136, 30.7269 46.56127, 30.72711 46.56118)",street,no_polygon_in_group
Александровка|Олександрівка,POINT(30.63125 46.32795),town,no_polygon_in_group
Сергеевка|Сергіївка,POINT(30.37273 46.02756),town,no_polygon_in_group
Черноморское|Чорноморське,POINT(30.93341 46.58491),town,no_polygon_in_group
Адамовка|Адамівка,POINT(30.50695 46.88606),village,no_polygon_in_group
Великий Буялык|Великий Буялик,"LINESTRING(30.64375 46.90704, 30.63995 46.90912, 30.63992 46.90915, 30.63748 46.90979, 30.63735 46.90967, 30.63597 46.91008, 30.63601 46.91018, 30.63436 46.91061, 30.63679 46.91455, 30.63483 46.91522, 30.6353 46.91653, 30.63675 46.91806, 30.63569 46.91838, 30.63759 46.92207, 30.64178 46.92127, 30.64205 46.92315, 30.64224 46.92423, 30.64187 46.92729, 30.64268 46.93078, 30.64134 46.93091, 30.64134 46.9362, 30.64261 46.94174, 30.64366 46.94627, 30.6457 46.95138, 30.64576 46.95299, 30.64677 46.95323, 30.6472 46.9558, 30.64656 46.95801, 30.64736 46.9581, 30.6496 46.95813, 30.65008 46.95861, 30.65153 46.95947, 30.65134 46.95961, 30.64951 46.95925, 30.64747 46.9612, 30.6493 46.96194, 30.65055 46.96232, 30.65089 46.9621, 30.65277 46.96045, 30.65643 46.95931, 30.65475 46.9575, 30.6554 46.95612, 30.65521 46.95408, 30.65454 46.95206, 30.65421 46.95078, 30.65417 46.94854, 30.65378 46.94669, 30.65577 46.94624, 30.6564 46.94612, 30.65832 46.94552, 30.66096 46.94506, 30.6611 46.94522, 30.66104 46.9446, 30.66126 46.94397, 30.66201 46.94403, 30.66203 46.94385, 30.66227 46.94165, 30.66238 46.94038, 30.66269 46.93945, 30.66259 46.93892, 30.66204 46.93768, 30.66201 46.93714, 30.66242 46.93708, 30.66227 46.93569, 30.66189 46.9349, 30.66172 46.93411, 30.66162 46.93281, 30.66188 46.93063, 30.66095 46.927, 30.65804 46.92486, 30.66327 46.92346, 30.66285 46.92256, 30.66246 46.92222, 30.66153 46.92217, 30.65893 46.92097, 30.65726 46.91988, 30.65625 46.91876, 30.65681 46.91822, 30.65649 46.91755, 30.65595 46.91677, 30.65364 46.9173, 30.65346 46.91732)",village,no_polygon_in_group
Граденицы|Градениці,POINT(29.99595 46.58822),village,no_polygon_in_group
Долиновка|Долинівка,POINT(29.52404 45.9922),village,no_polygon_in_group
