row_id,names,original_type,new_type,geometry_type,issue
833,Белозёрка|Білозерка,town,REMOVED,POINT,settlement_point_duplicate_removed
841,Днестровск|Дністровськ,town,REMOVED,POINT,settlement_point_duplicate_removed
843,Доброслав,town,REMOVED,POINT,settlement_point_duplicate_removed
846,Ивановка|Іванівка,town,REMOVED,POINT,settlement_point_duplicate_removed
848,Красносёлка|Красносілка,town,REMOVED,POINT,settlement_point_duplicate_removed
854,Лиманское|Лиманське,town,REMOVED,POINT,settlement_point_duplicate_removed
863,Полигон|Полігон,town,REMOVED,POINT,settlement_point_duplicate_removed
869,Слободзея,town,REMOVED,POINT,settlement_point_duplicate_removed
869,Слободзея,town,REMOVED,POINT,settlement_point_duplicate_removed
871,Татарбунары|Татарбунари,town,REMOVED,POINT,settlement_point_duplicate_removed
874,Черноморск|Чорноморськ,town,REMOVED,POINT,settlement_point_duplicate_removed
942,Александровка|Олександрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
944,Александровка|Олександрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
948,Алексеевка|Олексіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
950,Алтестово|Алтестове,village,REMOVED,POINT,settlement_point_duplicate_removed
952,Анатольевка|Анатолівка,village,REMOVED,POINT,settlement_point_duplicate_removed
954,Ангелиновка|Ангелінівка,village,REMOVED,POINT,settlement_point_duplicate_removed
957,Андреевка|Андріївка,village,REMOVED,POINT,settlement_point_duplicate_removed
960,Анновка|Ганнівка,village,REMOVED,POINT,settlement_point_duplicate_removed
968,Баланово|Баланове,village,REMOVED,POINT,settlement_point_duplicate_removed
976,Беленькое|Біленьке,village,REMOVED,POINT,settlement_point_duplicate_removed
981,Береговое|Берегове,village,REMOVED,POINT,settlement_point_duplicate_removed
984,Бессарабка,village,REMOVED,POINT,settlement_point_duplicate_removed
986,Бехтери,village,REMOVED,POINT,settlement_point_duplicate_removed
990,Благодаровка|Благодарівка,village,REMOVED,POINT,settlement_point_duplicate_removed
994,Благодатное|Благодатне,village,REMOVED,POINT,settlement_point_duplicate_removed
997,Благодатное|Благодатне,village,REMOVED,POINT,settlement_point_duplicate_removed
1003,Богородицкое|Богородицьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1019,Вавилово|Вавилове,village,REMOVED,POINT,settlement_point_duplicate_removed
1025,Вапнярка,village,REMOVED,POINT,settlement_point_duplicate_removed
1026,Вапнярка,village,REMOVED,POINT,settlement_point_duplicate_removed
1029,Василевка|Василівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1031,Василевка|Василівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1033,Введенка,village,REMOVED,POINT,settlement_point_duplicate_removed
1035,Велетенское|Велетенське,village,REMOVED,POINT,settlement_point_duplicate_removed
1043,Великомарьяновка|Великомар’янівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1050,Весёлое|Веселе,village,REMOVED,POINT,settlement_point_duplicate_removed
1053,Визирка,village,REMOVED,POINT,settlement_point_duplicate_removed
1055,Виишоара|Viișoara,village,REMOVED,POINT,settlement_point_duplicate_removed
1059,Виноградное|Виноградне,village,REMOVED,POINT,settlement_point_duplicate_removed
1065,Владимировка|Володимирівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1074,Выгода|Вигода,village,REMOVED,POINT,settlement_point_duplicate_removed
1076,Выгон|Вигон,village,REMOVED,POINT,settlement_point_duplicate_removed
1077,Гаевка|Гаївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1079,Галицыново|Галицинове,village,REMOVED,POINT,settlement_point_duplicate_removed
1082,Геройское|Геройське,village,REMOVED,POINT,settlement_point_duplicate_removed
1085,Гончарное|Гончарне,village,REMOVED,POINT,settlement_point_duplicate_removed
1087,Гончаровка|Гончарівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1089,Гороховка|Горохівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1090,Граденицы|Градениці,village,REMOVED,POINT,settlement_point_duplicate_removed
1093,Гребеники,village,REMOVED,POINT,settlement_point_duplicate_removed
1097,Грозовое|Грозове,village,REMOVED,POINT,settlement_point_duplicate_removed
1104,Даниловка|Данилівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1109,Дмитровка|Дмитрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1111,Дмитровка|Дмитрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1113,Днепровское|Дніпровське,village,REMOVED,POINT,settlement_point_duplicate_removed
1117,Доброжаново|Доброжанове,village,REMOVED,POINT,settlement_point_duplicate_removed
1120,Долиновка|Долинівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1125,Дослидное|Дослідне,village,REMOVED,POINT,settlement_point_duplicate_removed
1126,Дослидное|Дослідне,village,REMOVED,POINT,settlement_point_duplicate_removed
1128,Егоровка|Єгорівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1130,Елизаветовка|Єлизаветівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1134,Ермишково|Єрмішкове,village,REMOVED,POINT,settlement_point_duplicate_removed
1139,Журовка|Журівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1147,Заречное|Зарічне,village,REMOVED,POINT,settlement_point_duplicate_removed
1150,Заря|Зоря,village,REMOVED,POINT,settlement_point_duplicate_removed
1155,Зелёновка|Зеленівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1157,Зелёное|Зелене,village,REMOVED,POINT,settlement_point_duplicate_removed
1159,Зелёный Гай|Зелений Гай,village,REMOVED,POINT,settlement_point_duplicate_removed
1164,Знаменка|Знам’янка,village,REMOVED,POINT,settlement_point_duplicate_removed
1166,Зоревка|Зорівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1171,Ивановка|Іванівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1172,Ивановка|Іванівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1174,Иваново|Іванове,village,REMOVED,POINT,settlement_point_duplicate_removed
1180,Казацкое|Козацьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1183,Калабатино|Калабатине,village,REMOVED,POINT,settlement_point_duplicate_removed
1190,Каменка|Кам’янка,village,REMOVED,POINT,settlement_point_duplicate_removed
1193,Каменка|Кам’янка,village,REMOVED,POINT,settlement_point_duplicate_removed
1201,Карагаш,village,REMOVED,POINT,settlement_point_duplicate_removed
1203,Карликовка|Карликівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1205,Карналиевка|Карналіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1210,Кизомыс|Кізомис,village,REMOVED,POINT,settlement_point_duplicate_removed
1216,Клапая,village,REMOVED,POINT,settlement_point_duplicate_removed
1220,Козырка|Козирка,village,REMOVED,POINT,settlement_point_duplicate_removed
1223,Константиновка|Костянтинівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1228,Копанка|Copanca,village,REMOVED,POINT,settlement_point_duplicate_removed
1232,Коротное|Коротне,village,REMOVED,POINT,settlement_point_duplicate_removed
1236,Котлярёво|Котляреве,village,REMOVED,POINT,settlement_point_duplicate_removed
1240,Кошары|Кошари,village,REMOVED,POINT,settlement_point_duplicate_removed
1242,Красная Коса|Красна Коса,village,REMOVED,POINT,settlement_point_duplicate_removed
