names,wkt_geom
1 Люстдорфской,POINT(30.726171 46.437772)
1 Фонтана,POINT(30.745266 46.461010)
1-й Заливной,"LINESTRING(30.7248008 46.5049022, 30.7247901 46.5051385)"
10 Апреля,"POLYGON((30.7563505 46.439791, 30.7564711 46.4403469, 30.7567286 46.4406063, 30.7573771 46.4404648, 30.7572752 46.4396071, 30.7563505 46.439791))"
10 Люстдорфской,POINT(30.726893 46.385522)
10 Фонтана,POINT(30.753758 46.414632)
11 Фонтана,POINT(30.755611 46.410684)
12 Фонтана,POINT(30.754707 46.405071)
13 Фонтана,POINT(30.753385 46.402592)
14 Фонтана,POINT(30.749936 46.397865)
15 Фонтана,POINT(30.748117 46.395031)
16 Фонтана,POINT(30.747240 46.391738)
2 застава,POINT(30.68636 46.46634)
2 Люстдорфской,POINT(30.727939 46.432075)
2 Фонтана,POINT(30.744107 46.454442)
2 столба|Два столба|2 столбов,"POLYGON((30.61548 46.4865584, 30.6157891 46.4863655, 30.6158966 46.4864439, 30.6175321 46.4859716, 30.6178101 46.4861049, 30.6169415 46.4911018, 30.6148532 46.4908267, 30.6153808 46.4882039, 30.6151582 46.4881799, 30.6153017 46.4873867, 30.614967 46.4873203, 30.6149936 46.4870962, 30.61548 46.4865584))"
3 Люстдорфской,POINT(30.723816 46.425796)
3 Фонтана,POINT(30.743453 46.448991)
4 Люстдорфской,POINT(30.726139 46.417779)
4 Фонтана,POINT(30.742798 46.443539)
411|411ая|411я|батарея,"LINESTRING(30.7245224 46.371199, 30.7239215 46.3718172)"
5 Люстдорфской,POINT(30.727582 46.413915)
5 Фонтана,POINT(30.745746 46.437853)
6 Люстдорфской,POINT(30.730619 46.405559)
6 Фонтана,POINT(30.748013 46.433674)
7 Пересыпская,"LINESTRING(30.7209071 46.5381234, 30.7257828 46.5374895)"
7 км,POINT(30.6402739 46.4419476)
7 небо,"POLYGON((30.6382 46.45513, 30.63389 46.45595, 30.63325 46.45418, 30.63367 46.45154, 30.63465 46.45008, 30.63254 46.44884, 30.63336 46.44513, 30.63726 46.44626, 30.63647 46.44856, 30.64212 46.45074, 30.6453 46.45093, 30.64483 46.45551, 30.64137 46.45676, 30.6382 46.45513))"
7 Люстдорфской,POINT(30.732432 46.399885)
7 Фонтана,POINT(30.751293 46.427161)
7-я Пересыпская,"LINESTRING(30.7323056 46.5321204, 30.7320884 46.5319802)"
8 марта,"POLYGON((30.7138689 46.5467256, 30.7144356 46.5463668, 30.7153606 46.5460778, 30.7210335 46.5449044, 30.7258667 46.5434426, 30.7138689 46.5467256))"
8 Люстдорфской,POINT(30.734800 46.394059)
8 Фонтана,POINT(30.753149 46.423195)
9 Люстдорфской,POINT(30.731412 46.386639)
9 Фонтана,POINT(30.753779 46.420050)
STVOL,"POLYGON((30.7220961 46.4235137, 30.7225784 46.423209, 30.7226372 46.4232533, 30.7221772 46.4235438, 30.7220961 46.4235137))"
Ёлочная,"POLYGON((30.7420864 46.4043555, 30.7424613 46.4029815, 30.7418632 46.4027867, 30.7420864 46.4043555))"
Абрикосовая,"LINESTRING(30.7440929 46.3935498, 30.7399517 46.4007021)"
Авиационная,"LINESTRING(30.7215087 46.4526689, 30.7213952 46.4454246)"
Автостанция привоз|Автостанция старосенная,"POLYGON((30.737904 46.4667116, 30.7378926 46.4666064, 30.7384587 46.4665784, 30.73847 46.4666821, 30.737904 46.4667116))"
Аграрная,"POLYGON((30.7173837 46.5517958, 30.7131956 46.5508824, 30.7123561 46.5504111, 30.7173837 46.5517958))"
Агрономическая,"LINESTRING(30.6947575 46.4905283, 30.6912068 46.4901541, 30.6889945 46.4903783, 30.6887969 46.4896519, 30.6884821 46.4894889, 30.6812394 46.4901647, 30.6807097 46.4903298, 30.6746802 46.4940642, 30.6659132 46.4950791, 30.654722 46.495991)"
Адмиральский,"LINESTRING(30.7253715 46.4377133, 30.7265902 46.4375851, 30.7264923 46.4377879, 30.7270693 46.4375399, 30.7282217 46.4374317, 30.7288301 46.4375664, 30.7307827 46.4373814, 30.7414628 46.4361764, 30.7444782 46.43726)"
Азарова,"POLYGON((30.7594444 46.4660057, 30.7593006 46.465711, 30.759678 46.4657284, 30.7596603 46.4659997, 30.7594444 46.4660057))"
Академическая,"LINESTRING(30.7566549 46.4405733, 30.7435183 46.4425026)"
Аккордная,"POLYGON((30.6976173 46.4607553, 30.6977603 46.4595606, 30.697971 46.4590771, 30.698134 46.4569835, 30.6976173 46.4607553))"
Невского,"LINESTRING(30.7282952 46.4121739, 30.7402597 46.4133543, 30.7420018 46.4136576)"
Александровский|Проспект Мира,"LINESTRING(30.7337809 46.4699804, 30.734304 46.4735663)"
Алексеевская площадь,"POLYGON((30.7135288 46.4607873, 30.7160086 46.4607734, 30.7163305 46.4584394, 30.7135288 46.4607873))"
Алексеевский сквер,"POLYGON((30.7138718 46.4606597, 30.7139179 46.4595945, 30.716089 46.4595971, 30.7159176 46.4606612, 30.7138718 46.4606597))"
Аллея Славы,"LINESTRING(30.7595879 46.4777138, 30.7611465 46.4790601)"
Альтаир,"POLYGON((30.7260138 46.421864, 30.7257112 46.422819, 30.7253065 46.4227579, 30.7256082 46.4218032, 30.7260138 46.421864))"
Амбулаторная,"LINESTRING(30.7071019 46.3550008, 30.7022569 46.3548922)"
Амурская,"LINESTRING(30.622649 46.4830855, 30.6303027 46.4797899)"
Ангарская,"LINESTRING(30.6175544 46.4734769, 30.6150748 46.4856752, 30.6151988 46.4862451)"
Андижон,"POLYGON((30.7583882 46.4361578, 30.7579471 46.4360569, 30.7580316 46.4358814, 30.7584727 46.4359822, 30.7583882 46.4361578))"
Андреевского,"LINESTRING(30.7152924 46.500988, 30.7144805 46.4986855)"
Арбузная,"LINESTRING(30.7426415 46.4124389, 30.7447988 46.4111735)"
Аркадийский,"LINESTRING(30.7560443 46.4273897, 30.7614261 46.4247451)"
Аркадия,POINT(30.7609722 46.431944)
Аркадия Плаза,"POLYGON((30.760502 46.4313313, 30.7603346 46.4313248, 30.7594028 46.4303285, 30.7594782 46.4301567, 30.7609959 46.4295348, 30.7615103 46.4298822, 30.7614616 46.4301484, 30.760502 46.4313313))"
Арт-Шат,"POLYGON((30.6804141 46.4452737, 30.6804138 46.4452003, 30.6806692 46.4451996, 30.6806696 46.4452731, 30.6804141 46.4452737))"
Артезианская,"LINESTRING(30.6937449 46.4726868, 30.6958016 46.4718315)"
Артем,"POLYGON((30.7534465 46.4294573, 30.7532602 46.4299855, 30.7530707 46.4299377, 30.753257 46.4294095, 30.7534465 46.4294573))"
Артиллерийская,"POLYGON((30.7286494 46.4524881, 30.7296959 46.4522856, 30.7312818 46.4519626, 30.7346393 46.4512945, 30.7362742 46.4509705, 30.739004 46.450567, 30.7286494 46.4524881))"
Артиллерийский парк,"POLYGON((30.7357033 46.4509726, 30.7345667 46.4511851, 30.7340977 46.4508456, 30.7334048 46.4509924, 30.7333575 46.4514252, 30.7313479 46.4518374, 30.7311533 46.4516702, 30.7292981 46.4520469, 30.72938 46.4522468, 30.7288865 46.4523473, 30.7287617 46.4522954, 30.7285521 46.4511674, 30.7287949 46.4510838, 30.7285328 46.4498723, 30.7282905 46.4497353, 30.7280633 46.4485951, 30.7285643 46.4487244, 30.7312849 46.4481542, 30.7313197 46.4483137, 30.7319205 46.4481777, 30.7320235 46.4483019, 30.7328535 46.4482791, 30.7332256 46.4493094, 30.7337071 46.4499331, 30.7344715 46.4504737, 30.7357033 46.4509726))"
Архитекторская,"LINESTRING(30.7155642 46.3831629, 30.7212852 46.3844873)"
Архитектурная,"LINESTRING(30.7444733 46.4140092, 30.7509011 46.4146138)"
Ассоль,"POLYGON((30.76608 46.4279317, 30.765959 46.4276819, 30.7662179 46.4275186, 30.7663011 46.4278803, 30.76608 46.4279317))"
Асташкина,"POLYGON((30.7235117 46.4790162, 30.7240004 46.4772249, 30.7250159 46.4762751, 30.7235117 46.4790162))"
Астрономическая,"LINESTRING(30.7381223 46.4235626, 30.7351448 46.4251216)"
Атамана Головатого,"LINESTRING(30.7326325 46.5322625, 30.7318236 46.5315982, 30.7307105 46.5302623, 30.7299661 46.5288212, 30.7256224 46.5222583, 30.7221447 46.5132339, 30.7219167 46.5107748, 30.723007 46.5020138, 30.7213613 46.4972256)"
Атамана Чепиги,"POLYGON((30.7199944 46.4977509, 30.7211639 46.5008685, 30.7206765 46.5046474, 30.7199944 46.4977509))"
Атриум,POINT(30.808405 46.583144)
Афина,"POLYGON((30.7358811 46.4825621, 30.7358914 46.4831994, 30.7353421 46.4832326, 30.7352517 46.4825017, 30.7356002 46.4823975, 30.7358811 46.4825621))"
Ашхабадская,"LINESTRING(30.6439842 46.4689345, 30.647109 46.4667639)"
Аэродромная,"LINESTRING(30.6281139 46.4829088, 30.6328357 46.4808674, 30.6329312 46.4806161)"
Аэропорт,"LINESTRING(30.6732586 46.4521882, 30.6759145 46.4443519)"
Аэропортовская,"LINESTRING(30.6592607 46.4503757, 30.6592304 46.4459996, 30.6598019 46.4393732, 30.6594755 46.4391189, 30.6582271 46.4390958, 30.6582898 46.4350428, 30.6580603 46.4343887, 30.6580552 46.4293587, 30.657863 46.4291483, 30.6562803 46.4285118, 30.6544347 46.4280026, 30.6530692 46.4280563, 30.651299 46.4285178, 30.6504981 46.4285363)"
Б Арнаутская|Большая Арнаутская|Чкалова,"LINESTRING(30.7257518 46.4736596, 30.7251394 46.4737027, 30.7536084 46.4716928)"
БРСМ-Нафта,"POLYGON((30.6134166 46.4930351, 30.6134522 46.4928741, 30.6136217 46.4928919, 30.613586 46.4930529, 30.6134166 46.4930351))"
Бабушкина,"LINESTRING(30.7346652 46.3927034, 30.7418056 46.3907581)"
Багрицкого,"LINESTRING(30.7125025 46.4471934, 30.7265046 46.4404599)"
Бадаева,"POLYGON((30.6996704 46.4993088, 30.6992619 46.4998524, 30.6982402 46.5004138, 30.6930252 46.5008944, 30.6894257 46.501451, 30.6996704 46.4993088))"
Бажана,"LINESTRING(30.6881164 46.4516729, 30.6854869 46.4528115)"
Базарная|Кирова,"LINESTRING(30.7244032 46.475927, 30.7254998 46.4751032, 30.754485 46.473058)"
Байкальская,"LINESTRING(30.7341702 46.3878322, 30.7331278 46.3858185)"
Балковская|Фрунзе,"LINESTRING(30.7046929 46.4545161, 30.7061622 46.4549429, 30.7064685 46.4587271, 30.7065432 46.4680784, 30.7061281 46.4750732, 30.7078503 46.4796506, 30.7085654 46.4836115, 30.7091691 46.4857404, 30.7115335 46.4882986, 30.7135673 46.4919045, 30.716148 46.4945988, 30.7172946 46.4959206, 30.7174703 46.4963939, 30.7200198 46.4972244, 30.7231105 46.4971466)"
Бассейная,"POLYGON((30.7323324 46.4564887, 30.7316818 46.456764, 30.7297201 46.458315, 30.7293698 46.4584342, 30.7323324 46.4564887))"
Батуринская,"POLYGON((30.6438081 46.470759, 30.6482847 46.4675949, 30.6488173 46.4667129, 30.6490616 46.4658783, 30.6438081 46.470759))"
Бахмутская,"LINESTRING(30.7773349 46.571468, 30.7835969 46.5829802)"
Бахчевая,"LINESTRING(30.619108 46.465959, 30.625797 46.4662072)"
Баштанная,"POLYGON((30.7521883 46.4161904, 30.7509011 46.4146138, 30.7500002 46.4129881, 30.7497564 46.4122704, 30.7500145 46.4109181, 30.7521883 46.4161904))"
Белинского,"POLYGON((30.754246 46.474501, 30.7532757 46.4702214, 30.7526248 46.4677311, 30.754246 46.474501))"
Береговая,"LINESTRING(30.6554948 46.5453408, 30.6564379 46.5442159, 30.6595158 46.5423876, 30.6601713 46.5423029, 30.6631579 46.5426359, 30.6637489 46.5423595, 30.66396 46.541838)"
Бернардацци,"POLYGON((30.7547727 46.4196977, 30.7556646 46.4184992, 30.7591439 46.4148971, 30.7600333 46.4135368, 30.7547727 46.4196977))"
Берёзовая,"LINESTRING(30.7261984 46.4190025, 30.7334275 46.4191157)"
Бессарабская,"POLYGON((30.6464748 46.473344, 30.6471839 46.473601, 30.6491711 46.4727194, 30.6464748 46.473344))"
Бехтерева,"POLYGON((30.6954876 46.4907733, 30.6953096 46.4899103, 30.6982788 46.4856797, 30.6954876 46.4907733))"
Бирюкова,"LINESTRING(30.672274 46.4695988, 30.6717945 46.4687805)"
Богдана Хмельницкого|Богдана,"LINESTRING(30.7135482 46.4625391, 30.727028 46.4708162, 30.7273141 46.47104, 30.7277349 46.4719699)"
Богуна,"LINESTRING(30.6926626 46.4531001, 30.6891793 46.4491102)"
Болгарская,"LINESTRING(30.7209442 46.4639425, 30.7160086 46.4607734)"
Болградская,"LINESTRING(30.6464748 46.473344, 30.6516049 46.4697375)"
Большевик,"POLYGON((30.7203961 46.537433, 30.7211095 46.5368104, 30.7219119 46.5372125, 30.7213969 46.5376238, 30.7209645 46.5374063, 30.720748 46.53761, 30.7203961 46.537433))"
Деревянко,"POLYGON((30.7050742 46.4424752, 30.7037255 46.4430315, 30.7034035 46.4429608, 30.7030546 46.4425908, 30.7031979 46.4423158, 30.7048828 46.4415092, 30.7054936 46.4415353, 30.7057787 46.4418247, 30.7057423 46.4420724, 30.7050742 46.4424752))"
Боровского,"LINESTRING(30.6728993 46.4823596, 30.6633779 46.4847983, 30.6625419 46.485145, 30.6618258 46.4851702, 30.6542444 46.4871389, 30.6541519 46.4881855, 30.6536443 46.4888077, 30.6529247 46.4888952, 30.6496951 46.4904311, 30.6480055 46.4910641)"
Бортнянского,"LINESTRING(30.7132614 46.4479915, 30.7192813 46.44512)"
Ботанический сад,"POLYGON((30.7597546 46.44419, 30.7609744 46.4446046, 30.7617833 46.4434122, 30.7644379 46.4442606, 30.7641101 46.4457299, 30.7637025 46.4467436, 30.7615546 46.4463692, 30.7615029 46.4460419, 30.7590291 46.4453959, 30.7597546 46.44419))"
Брестская,"LINESTRING(30.6689193 46.4694979, 30.674683 46.4680514)"
Бреуса,"LINESTRING(30.707226 46.4531764, 30.7103071 46.4507608, 30.7268465 46.4428542)"
Бригадна,"LINESTRING(30.735721 46.4342262, 30.7469872 46.4278895, 30.7515472 46.4255833)"
Бугаёвская|Бугаевка|Бугаевская,"LINESTRING(30.7064767 46.4765735, 30.7053538 46.4761163, 30.703063 46.4745072, 30.6964802 46.4704062, 30.695432 46.4681792, 30.6947767 46.4658108)"
Буревестник,"POLYGON((30.751203 46.3930329, 30.7510432 46.3930362, 30.7510212 46.3925357, 30.751181 46.3925324, 30.751203 46.3930329))"
