text,freq
Генерала Петрова 80,29
Жолио-Кюри 64.,11
Окружная ОККО БП,10
Киевская радар за брсм на 16:30,10
Генерала Петрова 38 и 40.,8
Радужный 1,8
‼Слободка,6
Черёмушки,6
"Пионерская,24",6
Окружная ОККО блок пост,6
Радужный,5
Маршал Сити АТБ,5
Теплодар.,5
"Окружная,камыши БП",5
Окружная окко БП в обе стороны,5
Киевская радар перед брсм на 12:55,5
Б.Хмельницкого,4
Таврия маршал,4
Ленпоселок.,4
Копейка,4
ЧЕРЕМУШКИ,4
Генерала Петрова 23/3. 23/5.,4
Объездная окко блок пост,4
Магазин копейка,4
"Объездная, ОККО, БП",4
Окружная Окко Б П,4
Рынок початок,4
Черемушки опасно.,4
(В сторону маяк),3
Таврия В,3
Эпицентр таирово,3
Напротив Сильпо,3
Авдеева-Черноморского,3
Днепропетровская дорога 108,3
"Объездная, ОККО",3
Окружная выезд с посёлка ОККО блок-пост,3
ЮГО-ЗАПАДНЫЙ БЛОК ПОСТ В СТОРОНУ ТАИРОВА!,3
Пересыпский мост,3
Мост пересыпь,3
Радужный 16:51,3
Б. Хмельницкого 23. Смартлаб,3
Объездная окко ТЦК,3
СИЛЬПО,3
Генерала Петрова Сильпо,3
"Окружная, ОККО, выезд с Посёлка БП в две стороны",3
Окружная ОККО выезд с Посёлка БП в обе стороны,3
Ленпас Бус ТЦК И белый дастер в поле катаються..,3
Генерала Петрова заправка Амик,3
Б.Хмельницкого 23,3
Объездная камыши БП,3
Юго-западный масив за сильпо два буса,3
Черноморка‼‼‼‼,3
Китайский рынок Менты,3
ЖК Радужный!,3
Пересыпь мост!,2
Чёрная таврия,2
7-я Пересыпьская: актуально,2
Таврия,2
Радужный. Осторожно!,2
Жолио Кюри-станция ВОСТОЧНАЯ!!!,2
Эпицентр 7 км,2
Таврия Маршал парковка,2
Окружная,2
По ленпасу на ул.сосюры 3 оливки ходят с папками,2
"Теплодар,поворот на Беляевку опасно",2
Киевский тцк,2
"Теплодар, на повороте на Дамбу ТЦК",2
Поворот на Теплодар,2
"ОККО, пересыпский Мост.",2
Киевская трасса БРСМ радар.,2
Ситицентр таирово,2
Юго-западный в сторону города,2
Юго-Западный БП в сторону города,2
"Теплодар поворот на Беляевку стоят душегубы, берегите себя!!!!",2
Окко объездная блок пост,2
Поскот окружная окко блок пост,2
Окружная дорога,2
"Нати,Нерубайск, окружная дамба, курсирует голубой фольцваген микроавтобус",2
Окко объездная,2
Окко окружная бп,2
Ленпосёлок.,2
Юго-западный в сторону Таирова БП,2
Теплодар облава,2
Юго-западный в сторону Таирова блок пост,2
Теплодар тцк,2
Окружная выезд с посёлка заправка ОККО блок-пост,2
"Слободка, хлеб завод",2
🆘Вишневского 13🆘,2
Выезд с Одессы на Ильичевскую дорогу стоят с леденцом,2
Слободка внимание ‼,2
"Окружная, заправка ОККО",2
Заправка БРСМ,2
"Киевская, въезд, БРСМ, радар.",2
Расселенец в сторону маяк полиция с погранцами,2
Маршал Сити,2
Латовка БРСМ блок пост,2
Порт!!!!,2
Проспект Шевченко Политехнический университет блокпост. Актуально на 10:54.,2
БРСМ,2
"Великий Дальник, напротив церкви радар в сторону Маяк",2
Китайский рынок,2
Блок пост Юр - академия.,2
БП окружная окко 🪖,2
"Объездная дорога, заправка окко блокпост в обе стороны",2
Теплодар. Выезды перекрыты,2
Окружная ОККО выезд с Посёлка блок-пост в две стороны,2
Окружная ОККО БП в две стороны,2
Пересыпьский мост,2
"В Теплодар заехали гости, берегите себя",2
"Первый блокпост от куяльника в город, вояки и менты с планшетами.",2
"Ещё,опять район Таврия в минут 10 назад мусарской Рено степвэй проезжая увидав парня шетшего вдоль дороги тормазнулись выскочили и его подвели к авто,он им телефон показывает а они достали планшет. Штото то место опасное будьте бдительны шмон на глаза.",2
6 км БРСМ блок-пост в две стороны,2
6км заправка БРСМ БП,2
"6 км, брсм - блок пост",2
Тонированная дача 10-30,2
Окружная камыши блокпост,2
32 школа (Черёмушки),2
Таврия маршал мусора на парковке,2
Новая почта 94,2
Китайский рынок полиция,2
1 ст люстдорфа,2
"4-фонтана,",2
Ленпас,2
БП объездная ОККО в обе стороны,2
ЖК АТМОСФЕРА,2
ОККО окружная стоят в обе стороны,2
Окружная на Куяльнике в камышах БП.,2
Объездная блокпост,2
Радужный дом 1,2
"Окружная, на хаджибеевской дамбе, перед подъемом на латовку стоят мусора.",2
Генерала Петрова АТБ опасно,2
Объездная перед кладбищем стоят гаишники,2
Окружная дорога Окко. ТЦК,2
Таврия маршал серый бус,2
"Окружная, поворот на яму БП.",2
Окко объездная блокпост,2
Атб маршал сити,2
6 км брсм БП,2
